tbs_department,tbs_employees_2026,tbs_section,geds_departments,geds_people,difference,directory_ratio,directory_gap_rate,match_type,org_units,orgs_at_people_cap,people_in_capped_orgs,definition_flag
Accessibility Standards Canada,56,Core public administration,Accessibility Standards Canada,0,-56,0.0,1.0,exact_normalized,16,0,0,
Administrative Tribunals Support Service of Canada,632,Core public administration,Administrative Tribunals Support Service of Canada,0,-632,0.0,1.0,exact_normalized,1,0,0,
Agriculture and Agri-Food Canada,5485,Core public administration,Agriculture and Agri-Food Canada,4951,-534,0.902644,0.097356,exact_normalized,668,52,1300,
Atlantic Canada Opportunities Agency,558,Core public administration,Atlantic Canada Opportunities Agency,462,-96,0.827957,0.172043,exact_normalized,89,2,50,
Canada Border Services Agency,16759,Core public administration,Canada Border Services Agency,5119,-11640,0.305448,0.694552,exact_normalized,1077,24,600,
Canada Economic Development for Quebec Regions,349,Core public administration,Canada Economic Development for Quebec Regions,357,8,1.022923,-0.022923,exact_normalized,66,2,50,
Canada Energy Regulator,592,Separate agencies,Canada Energy Regulator,556,-36,0.939189,0.060811,exact_normalized,77,1,25,
Canada Revenue Agency,48774,Separate agencies,CANADA REVENUE AGENCY,9267,-39507,0.189999,0.810001,exact_normalized,2469,19,475,
Canada School of Public Service,598,Core public administration,Canada School of Public Service,512,-86,0.856187,0.143813,exact_normalized,51,8,200,
Canadian Dairy Commission,84,Core public administration,Canadian Dairy Commission,86,2,1.02381,-0.02381,exact_normalized,18,0,0,
Canadian Food Inspection Agency,6207,Separate agencies,Canadian Food Inspection Agency,4676,-1531,0.753343,0.246657,exact_normalized,863,8,200,
Canadian Grain Commission,473,Core public administration,Canadian Grain Commission,270,-203,0.570825,0.429175,exact_normalized,29,8,200,
Canadian Heritage,1846,Core public administration,Canadian Heritage,1937,91,1.049296,-0.049296,exact_normalized,395,3,75,
Canadian Human Rights Commission,276,Core public administration,Canadian Human Rights Commission,0,-276,0.0,1.0,exact_normalized,36,0,0,
Canadian Institutes of Health Research,481,Separate agencies,Canadian Institutes of Health Research,515,34,1.070686,-0.070686,exact_normalized,92,0,0,
Canadian Intergovernmental Conference Secretariat,37,Core public administration,Canadian Intergovernmental Conference Secretariat,35,-2,0.945946,0.054054,exact_normalized,5,0,0,
Canadian Northern Economic Development Agency,123,Core public administration,Canadian Northern Economic Development Agency,159,36,1.292683,-0.292683,exact_normalized,20,0,0,
Canadian Nuclear Safety Commission,1044,Separate agencies,Canadian Nuclear Safety Commission,1065,21,1.020115,-0.020115,exact_normalized,91,2,50,
Canadian Radio-television and Telecommunications Commission,728,Core public administration,Canadian Radio-television and Telecommunications Commission,667,-61,0.916209,0.083791,exact_normalized,85,6,150,
Canadian Space Agency,1060,Core public administration,Canadian Space Agency,284,-776,0.267925,0.732075,exact_normalized,122,0,0,
